CATEGORIE;SOUS-CATEGORIE;SOUS-CATEGORIE 2;ARTICLE;DESIGNATION;HAUTEUR;LARGEUR;PRIX_UNITAIRE_HT;DEVIS;FOURNISSEUR;CHANTIER;FICHE_TECHNIQUE;FICHIER_PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Porte Acoustique RA=29-35dB;1701603;BLOC PORTE ACOUSTIQUE RA=29DB EI30 - Huisserie bois dur a peindre 68X58 - joint balai;2240;930;205.52;D200708;Dispano;POLE SCOLAIRE BALDERSHEIM;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_29-a31s-t01_fp.pdf;Devis_fournisseur\Dispano\M3248000129023.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Porte Acoustique RA=29-35dB;4075675;PORTE ACOUSTIQUE RA=35DB EI30 - cadre bois exotique 4 ples INOX de 130 - 2 faces placage OBERFLEX PRESTIGE FRENE;2140;930;902.70;D202017;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_33-a32s-t01_fp.pdf;Devis_fournisseur\Dispano\M3248000133334.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Porte Acoustique RA=29-35dB;4075675;PORTE ACOUSTIQUE RA=35DB EI30 - cadre bois exotique 4 ples INOX de 130 - 2 faces placage OBERFLEX T729;2140;930;992.34;D202017;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_33-a32s-t01_fp.pdf;Devis_fournisseur\Dispano\M3248000134159.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Porte Acoustique RA=36-40dB;1353425;BLOC PORTE VITRE EI30 ACOUSTIQUE RA=36db - Huisserie bois dur a peindre 80X58 - vitrage pyrobel 16;2240;930;1519.92;D200780;Dispano;BALDERSHEIM BP VITRE;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_40ba31s-t05_fp.pdf;Devis_fournisseur\Dispano\M3248000129275.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Porte Acoustique RA=40-44dB;4075675;PORTE ACOUSTIQUE RW=44DB EI30 RA=42dB - cadre bois exotique 4 ples INOX de 130 - joint balai;2140;930;1079.14;D202017;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_40ba31s-t05_fp.pdf;Devis_fournisseur\Dispano\M3248000133334.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Porte Acoustique RA=40-44dB;4075675;PORTE ACOUSTIQUE RW=44DB EI30 RA=42dB - cadre bois exotique 4 ples INOX de 130 - joint balai;2140;830;1064.33;D202017;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_40ba31s-t05_fp.pdf;Devis_fournisseur\Dispano\M3248000133334.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Porte Acoustique RA=40-44dB;3170616;PORTE ACOUSTIQUE RW=40DB EI30 - cadre bois dur 4 ples de 130 - PLACAGE 2 FACES FRENE BRUT a vernir;2140;930;549.70;D202017;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_40ba31s-t05_fp.pdf;Devis_fournisseur\Dispano\M3248000133365.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Porte Acoustique RA=40-44dB;3170616;PORTE ACOUSTIQUE RW=42DB EI30 - cadre bois dur 4 ples de 130 - PLACAGE 2 FACES FRENE BRUT a vernir;2140;930;560.82;D202017;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_40ba31s-t05_fp.pdf;Devis_fournisseur\Dispano\M3248000133365.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Porte Acoustique RA=40-44dB;3170616;PORTE ACOUSTIQUE RW=42DB EI30 - cadre bois dur 4 ples de 130 - PLACAGE 2 FACES FRENE BRUT a vernir;2140;830;543.47;D202017;Dispano;ECOLE DE THAL MARMOUTIER;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_40ba31s-t05_fp.pdf;Devis_fournisseur\Dispano\M3248000133365.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Bloc Porte Maternelle Acoustique;3170616;BLOC PORTE MATERNELLE ACOUSTIQUE RW=38db EI30 - Huisserie bois dur a peindre 118X54 - 2 oculus;2040;830;952.73;D198447;Dispano;CRECHE DE BEAUNE;Fiches_techniques\Portes et chassis\Porte maternelles\maternelle_31-m31s-t01_fp.pdf;Devis_fournisseur\Dispano\M3248000121691.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Bloc Porte Maternelle Acoustique;3170616;BLOC PORTE MATERNELLE ACOUSTIQUE RW=38db EI30 - Huisserie bois dur a peindre 88X54;2040;830;512.67;D198447;Dispano;CRECHE DE BEAUNE;Fiches_techniques\Portes et chassis\Porte maternelles\maternelle_31-m31s-t01_fp.pdf;Devis_fournisseur\Dispano\M3248000121691.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Bloc Porte Maternelle Acoustique;1701603;BLOC PORTE MATERNELLE ACOUSTIQUE RA=31dB EI30 - Huisserie bois dur a peindre 68X58 - joint balai;2240;930;459.08;D200708;Dispano;POLE SCOLAIRE BALDERSHEIM;Fiches_techniques\Portes et chassis\Porte maternelles\maternelle_31-m31s-t01_fp.pdf;Devis_fournisseur\Dispano\M3248000129023.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Bloc Porte Maternelle Acoustique;1701603;BLOC PORTE ACOUSTIQUE RA=33DB EI30 - Huisserie bois dur a peindre 68X58 - 2 VTX feuillure de battement;2240;1860;447.31;D200708;Dispano;POLE SCOLAIRE BALDERSHEIM;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_33-a32s-t01_fp.pdf;Devis_fournisseur\Dispano\M3248000129023.PDF
Menuiserie interieurs;PORTES ACOUSTIQUES;Bloc Porte Maternelle Acoustique;1701603;BLOC PORTE ACOUSTIQUE RA=40DB EI30 - Huisserie bois dur a peindre 68X58 - joint balai;2240;930;344.27;D200708;Dispano;POLE SCOLAIRE BALDERSHEIM;Fiches_techniques\Portes et chassis\Acoustique\phonibloc_40ba31s-t05_fp.pdf;Devis_fournisseur\Dispano\M3248000129023.PDF
Menuiserie interieurs;PORTES VITREES;Bloc Porte Vitre EI30;1353425;BLOC PORTE VITRE EI30 - Huisserie bois dur a peindre 80X58 - vitrage pyrobel 16 toute hauteur;2240;930;1415.61;D200780;Dispano;BALDERSHEIM BP VITRE;Fiches_techniques\Portes et chassis\EI30\Vitree-JW-donnees-techniques-Feu-EI30-Acoustique-35-dB-largement-vitre-2-vantaux_1.pdf;Devis_fournisseur\Dispano\M3248000129275.PDF
Menuiserie interieurs;PORTES VITREES;Bloc Porte Vitre EI30;1353425;BLOC PORTE VITRE EI30 - Huisserie bois dur a peindre 80X58 - vitrage pyrobel 16 - 2 VTX feuillure battement;2240;1860;2710.35;D200780;Dispano;BALDERSHEIM BP VITRE;Fiches_techniques\Portes et chassis\EI30\Vitree-JW-donnees-techniques-Feu-EI30-Acoustique-35-dB-largement-vitre-2-vantaux_1.pdf;Devis_fournisseur\Dispano\M3248000129275.PDF
Menuiserie interieurs;PORTES VITREES;Bloc Porte Vitre EI30;1353425;BLOC PORTE VITRE EI30 - Huisserie bois dur a peindre 80X58 - vitrage pyrobel 16 - 2 VTX feuillure battement;2240;1460;2341.73;D200780;Dispano;BALDERSHEIM BP VITRE;Fiches_techniques\Portes et chassis\EI30\Vitree-JW-donnees-techniques-Feu-EI30-Acoustique-35-dB-largement-vitre-2-vantaux_1.pdf;Devis_fournisseur\Dispano\M3248000129275.PDF
Menuiserie interieurs;PORTES VITREES;Bloc Porte Vitre EI30 Acoustique;1353425;BLOC PORTE VITRE EI30 ACOUSTIQUE RA=35dB - Huisserie bois dur a peindre 80X58 - vitrage pyrobel 16;2240;1460;2444.22;D200780;Dispano;BALDERSHEIM BP VITRE;Fiches_techniques\Portes et chassis\EI30\Vitree-JW-donnees-techniques-Feu-EI30-Acoustique-35-dB-largement-vitre-2-vantaux_1.pdf;Devis_fournisseur\Dispano\M3248000129275.PDF
